Model,R²,RMSE,MAE,Avg Geodesic Error (km),SE Geodesic Error (km)
MultiTaskLasso,0.8490398851034707,0.3972742455607762,0.07476332244221934,36.14700700197216,51.1397059960127
SVR,0.8817330169227072,0.35029962800598174,0.07178382383950085,27.697731224210393,48.08927826452359
KNN,0.9761146972148589,0.15253647425714245,0.015577502029163873,10.163496370466833,22.88570725972563
DecisionTree,0.8668095363018852,0.3735814038209621,0.023183865328526062,19.20782912441415,55.38911832997171
RandomForest,0.9520249416107238,0.21991898031389612,0.019598985576706314,15.439812604931545,31.887087552571533
XGBoost,0.9154187470056088,0.2980370771856605,0.02108356467411859,17.296901839039368,43.440391419020784
